Member_ID,Age,Skills,Availability,Task Preference
M056,33,['Teaching'],Evenings,Creative
M057,26,"['Baking', 'Gardening']",Weekends,Indoor
M058,28,['Gardening'],Weekdays,Outdoor
M059,29,"['DIY', 'Gardening']",Afternoons,Indoor
M060,42,['Teaching'],Afternoons,Outdoor
M061,24,"['Cooking', 'Teaching']",Afternoons,Creative
M062,10,['DIY'],Evenings,Creative
M063,26,"['Organizing', 'DIY']",Afternoons,Creative
M064,51,"['DIY', 'Painting']",Afternoons,Outdoor
M065,59,['Teaching'],Weekends,Physical
M066,32,"['Teaching', 'Cooking', 'Gardening']",Afternoons,Physical
M067,40,"['Gardening', 'Baking']",Afternoons,Creative
M068,49,"['Gardening', 'DIY']",Evenings,Physical
M069,38,['DIY'],Evenings,Physical
M070,43,"['DIY', 'Gardening', 'Teaching']",Afternoons,Creative
M071,42,"['DIY', 'Cooking']",Weekends,Indoor
M072,50,['Baking'],Weekdays,Outdoor
M073,37,"['Cleaning', 'Gardening']",Weekdays,Indoor
M074,31,"['Painting', 'Organizing', 'DIY']",Weekdays,Indoor
M075,30,['DIY'],Weekdays,Outdoor
M076,16,"['DIY', 'Teaching', 'Cleaning']",Weekdays,Indoor
M077,45,"['Baking', 'DIY', 'Gardening']",Weekends,Outdoor
M078,21,['Teaching'],Afternoons,Outdoor
M079,14,"['Painting', 'Teaching']",Weekends,Physical
M080,45,['Cooking'],Weekdays,Indoor
M081,56,"['Cleaning', 'DIY']",Weekends,Creative
M082,37,['Gardening'],Weekdays,Physical
M083,49,"['Baking', 'Organizing']",Weekdays,Creative
M084,25,"['Painting', 'Gardening', 'Cleaning']",Afternoons,Creative
M085,49,['Teaching'],Weekends,Creative
M086,13,['Painting'],Afternoons,Outdoor
M087,11,['Cooking'],Afternoons,Indoor
M088,27,"['Painting', 'Baking']",Afternoons,Physical
M089,56,"['Teaching', 'Cleaning', 'Gardening']",Weekdays,Creative
M090,10,"['DIY', 'Teaching', 'Painting']",Evenings,Physical
M091,45,"['Gardening', 'DIY']",Afternoons,Outdoor
M092,25,"['Gardening', 'Teaching', 'DIY']",Evenings,Indoor
M093,36,"['Painting', 'DIY', 'Baking']",Afternoons,Indoor
M094,54,"['Gardening', 'Painting']",Weekends,Outdoor
M095,58,['Organizing'],Weekends,Creative
M096,50,['Cooking'],Weekends,Creative
M097,46,"['Painting', 'Baking', 'Gardening']",Afternoons,Physical
M098,51,"['Cleaning', 'Baking']",Weekends,Creative
M099,14,['DIY'],Afternoons,Physical
M100,20,['Cleaning'],Weekdays,Outdoor
